Small Model(gpt4.1 - mini),,,,,,,,
Paper,Round 0,Round 1,Round 2,Round 3,Round 4,Initial,Final,Improvement
1,244,264.2,261.3,,,244,261.3,17.3
2,266,271.6,,,,266,271.6,5.6
3,247.5,255.2,262.2,253.5,259.8,247.5,259.8,12.3
4,257.7,267.5,264.4,273.5,,257.7,273.5,15.8
5,246,251.5,261.4,258.2,,246,258.2,12.2
Average,,,,,,252.24,264.88,12.64
,,,,,,,,
,,,,,,,,
Large Model 4.1,,,,,,,,
Paper,Round 0,Round 1,Round 2,Round 3,,Initial,Final,Improvement
1,263.5,273.5,,,,263.5,273.5,10
2,256.2,266.4,275,,,256.2,275,18.8
3,248.3,263.1,281,,,248.3,281,32.7
4,260.9,270.3,274.3,277.9,,260.9,277.9,17
5,259.5,265.1,279.9,,,259.5,279.9,20.4
6,269.2,262,285.5,,,269.2,285.5,16.3
7,259,262.1,270.6,,,259,270.6,11.6
8,273.3,,,,,273.3,273.3,0
9,251,264,264.7,275,,251,275,24
10,254.7,267.1,279.8,,,254.7,279.8,25.1
Average,,,,,,259.56,277.15,17.59
