category,item,claude-3.7,gemini-2.5,gpt-4.1,Agree (gpt-4.1 vs gemini-2.5),Agree (gpt-4.1 vs claude-3.7),Agree (gemini-2.5 vs claude-3.7),Agreement,Paper Name
Analysis,Depth,3.29,3.43,3.29,0.0,1.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Analysis,Gaps,3.29,3.14,3.14,1.0,0.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Analysis,Integration,3.86,4.0,3.29,0.0,0.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Literature,Balance,3.29,3.43,3.43,1.0,0.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Literature,Comprehensiveness,3.71,3.86,3.71,0.0,1.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Literature,Currency,4.14,4.14,4.29,0.0,0.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
Organization,Logical Flow,4.57,4.57,4.43,0.0,0.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
Organization,Section Clarity,4.71,5.0,4.71,0.0,1.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Organization,Summarization,3.71,3.71,3.57,0.0,0.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
Originality,Advancement,3.29,3.43,3.43,1.0,0.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Originality,Novelty,3.29,3.43,3.29,0.0,1.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Originality,Redundancy Avoidance,3.57,4.0,3.71,0.0,0.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Presentation,Formatting,4.86,4.86,4.71,0.0,0.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
Presentation,Language,4.71,4.86,4.71,0.0,1.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Presentation,Visuals,2.57,2.57,2.57,1.0,1.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
References,Accuracy,3.71,3.71,3.86,0.0,0.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
References,Appropriateness,4.43,4.43,4.43,1.0,1.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
Scope,Audience,4.71,4.57,4.57,1.0,0.0,0.0,,ASurvey of Space Object Sensing and Space.pdf
Scope,Objectives,2.43,2.43,2.57,0.0,0.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
Scope,Relevance,4.43,4.43,4.43,1.0,1.0,1.0,,ASurvey of Space Object Sensing and Space.pdf
TOTAL,,76.57,78.0,76.13999999999999,,,,,ASurvey of Space Object Sensing and Space.pdf
Analysis,Depth,3.33,3.33,3.33,1.0,1.0,1.0,,Prompt Programming and Prompting Language in.pdf
Analysis,Gaps,3.33,3.33,3.44,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Analysis,Integration,3.56,3.67,3.56,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Literature,Balance,4.11,3.78,4.11,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Literature,Comprehensiveness,4.67,4.56,4.67,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Literature,Currency,5.0,4.89,5.0,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Organization,Logical Flow,4.78,4.67,4.44,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Organization,Section Clarity,4.89,4.78,4.67,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Organization,Summarization,3.78,3.78,3.78,1.0,1.0,1.0,,Prompt Programming and Prompting Language in.pdf
Originality,Advancement,3.56,3.44,3.56,0.0,1.0,0.0,,Prompt Programming and Prompting Language in.pdf
Originality,Novelty,3.44,3.44,3.33,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Originality,Redundancy Avoidance,4.0,4.0,4.33,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Presentation,Formatting,4.67,4.78,4.56,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Presentation,Language,4.89,5.0,5.0,1.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Presentation,Visuals,3.33,3.33,3.22,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
References,Accuracy,4.33,4.33,4.22,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
References,Appropriateness,5.0,5.0,5.0,1.0,1.0,1.0,,Prompt Programming and Prompting Language in.pdf
Scope,Audience,4.33,4.44,4.56,0.0,0.0,0.0,,Prompt Programming and Prompting Language in.pdf
Scope,Objectives,2.67,2.67,2.78,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
Scope,Relevance,5.0,5.0,4.78,0.0,0.0,1.0,,Prompt Programming and Prompting Language in.pdf
TOTAL,,82.67,82.22,82.34,,,,,Prompt Programming and Prompting Language in.pdf
Analysis,Depth,3.38,3.5,3.38,0.0,1.0,0.0,,ASurvey of Fake News Detection and Misinformation.pdf
Analysis,Gaps,3.88,3.88,3.88,1.0,1.0,1.0,,ASurvey of Fake News Detection and Misinformation.pdf
Analysis,Integration,3.88,4.0,4.0,1.0,0.0,0.0,,ASurvey of Fake News Detection and Misinformation.pdf
Literature,Balance,4.12,4.25,4.38,0.0,0.0,0.0,,ASurvey of Fake News Detection and Misinformation.pdf
Literature,Comprehensiveness,4.5,4.75,4.75,1.0,0.0,0.0,,ASurvey of Fake News Detection and Misinformation.pdf
Literature,Currency,4.75,5.0,5.0,1.0,0.0,0.0,,ASurvey of Fake News Detection and Misinformation.pdf
Organization,Logical Flow,4.5,4.62,4.75,0.0,0.0,0.0,,ASurvey of Fake News Detection and Misinformation.pdf
