Index,Citation
1,"A. Aknouche and M. G. Scotto, ""A multiplicative thinning‐based integer‐valued GARCH model,"" J. Time Ser. Anal., vol. 45, no. 1, pp. 4–26, 2024. [Online]. Available: https://onlinelibrary.wiley.com/doi/10.1111/jtsa.12690"
2,"H. Yuan, K. Lu, G. Li, and J. Wang, ""High-Frequency-Based Volatility Model with Network Structure,"" J. Time Ser. Anal., vol. 45, no. 4, pp. 533–557, 2024. [Online]. Available: https://onlinelibrary.wiley.com/doi/10.1111/jtsa.12751"
3,"A. Aknouche and S. Dimitrakopoulos, ""Autoregressive conditional proportion: a multiplicative‐error model for (0, 1)‐valued time series,"" J. Time Ser. Anal., vol. 44, no. 4, pp. 393–417, 2023. [Online]. Available: https://onlinelibrary.wiley.com/doi/10.1111/jtsa.12663"
4,"S. Makridakis, E. Spiliotis, and V. Assimakopoulos, ""The M4 Competition: 100,000 time series and 61 forecasting methods,"" International Journal of Forecasting, vol. 36, no. 1, pp. 54–74, Jan.–Mar. 2020. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207019301128"
5,"H. Hewamalage, C. Bergmeir, and K. Bandara, ""Recurrent Neural Networks for Time Series Forecasting: Current Status and Future Directions,"" International Journal of Forecasting, vol. 37, no. 1, pp. 388–427, Jan.–Mar. 2021. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207020300996"
6,"Y. Kang, R. J. Hyndman, and K. Smith-Miles, ""Visualising forecasting algorithm performance using time series instance spaces,"" International Journal of Forecasting, vol. 33, no. 2, pp. 345–358, Apr.–Jun. 2017. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207016301030"
7,"H. L. Shang, J. Cao, and P. Sang, ""Stopping time detection of wood panel compression: A functional time-series approach,"" Journal of the Royal Statistical Society: Series C (Applied Statistics), vol. 71, no. 5, pp. 1205–1224, 2022. Available: https://academic.oup.com/jrsssc/article/71/5/1205/7073314"
8,"V. Cardiff, M. Ritchie, D. Hoy, and K. Esmail, ""Wavelet shrinkage for trend estimation and forecasting in time series,"" Journal of the Royal Statistical Society: Series C (Applied Statistics), vol. 68, no. 2, pp. 295-316, 2019. Available: https://rss.onlinelibrary.wiley.com/doi/full/10.1111/rssc.12296"
9,"A. Anastasiou, P. Hatzopoulos, A. Karagrigoriou, and G. Tzagkarakis, ""Causality Distance Measures for Multivariate Time Series with Applications,"" Mathematics, vol. 9, no. 21, Art. no. 2708, 2021. [Online]. Available: https://www.mdpi.com/2227-7390/9/21/2708"
10,"R. R. Jha, T. S. Teh, and A. R. Hassan, ""Statistical Modeling to Improve Time Series Forecasting Using Machine Learning, Time Series, and Hybrid Models: A Case Study of Bitcoin Price Forecasting,"" Mathematics, vol. 12, no. 23, Art. no. 3666, 2024. [Online]. Available: https://www.mdpi.com/2227-7390/12/23/3666"
11,"H. Zhu, Y. Chen, X. Wei, and W. Wu, ""Deep Time Series Forecasting Models: A Comprehensive Survey,"" Mathematics, vol. 12, no. 10, Art. no. 1504, 2024. [Online]. Available: https://www.mdpi.com/2227-7390/12/10/1504"
12,"Yuan Gao and Han Lin Shang, ""Forecasting high-dimensional functional time series: Application to sub-national age-specific mortality,"" Journal of Time Series Analysis, vol. 39, no. 4, pp. 528–546, 2018. [Online]. Available: https://onlinelibrary.wiley.com/doi/abs/10.1111/jtsa.12312"
13,"Thoman Liboschik, Nadja Fokianos, and Roland Fried, ""tscount: An R Package for Analysis of Count Time Series Following Generalized Linear Models,"" Journal of Time Series Analysis, vol. 38, no. 3, pp. 451–478, 2017. [Online]. Available: https://onlinelibrary.wiley.com/doi/full/10.1111/jtsa.12214"
14,"J. Shang, T. Nakamura, and S. Hamori, ""Does the Sentiment Index Help Predict Crude Oil Prices?"" IETI Transactions on Data Analysis and Forecasting (iTDAF), vol. 1, no. 1, pp. 54–65, 2023. [Online]. Available: https://online-journals.org/index.php/iTDAF/article/view/32683"
15,"M. Housni, ""Multidimensional Forecasting and Analysis: Exploring Moroccan Learning Data Analytics in Business, Environment, and Sustainability,"" IETI Transactions on Data Analysis and Forecasting (iTDAF), vol. 1, no. 3, pp. 75–82, 2023. [Online]. Available: https://online-journals.org/index.php/iTDAF/article/view/40353"
16,"E. Rusu and O. Manta, ""Forecasting and Directions Regarding Sustainable Public Procurement,"" IETI Transactions on Data Analysis and Forecasting (iTDAF), vol. 1, no. 2, pp. 98–107, 2023. [Online]. Available: https://online-journals.org/index.php/iTDAF/citationstylelanguage/get/apa?submissionId=39987&publicationId=77089"
17,"Ming Jin, Shiyu Wang, Lintao Ma, Zhixuan Chu, James Y. Zhang, Xiaoming Shi, Pin-Yu Chen, Yuxuan Liang, Yuan-Fang Li, Shirui Pan, and Qingsong Wen, ""Time-LLM: Time Series Forecasting by Reprogramming Large Language Models,"" in Proceedings of the 12th International Conference on Learning Representations (ICLR 2024), 2024. [Online]. Available: https://arxiv.org/abs/2310.01728"
18,"Yuqi Nie, Nam H. Nguyen, Phanwadee Sinthong, and Jayant Kalagnanam, ""A Time Series is Worth 64 Words: Long-term Forecasting with Transformers,"" in Proceedings of the International Conference on Learning Representations (ICLR 2023), 2023. [Online]. Available: https://arxiv.org/abs/2211.14730"
19,"Si-An Chen, Chun-Liang Li, Nate Yoder, Sercan O. Arik, and Tomas Pfister, ""TSMixer: An All-MLP Architecture for Time Series Forecasting,"" Transactions on Machine Learning Research (TMLR), Sep. 2023. [Online]. Available: https://arxiv.org/abs/2303.06053"
20,"S. Bandyopadhyay, C. Jentsch, and S. Subba Rao, ""A Spectral Domain Test for Stationarity of Spatio‐Temporal Data,"" Journal of Time Series Analysis, vol. 38, no. 2, pp. 326-351, 2017. [Online]. Available: https://doi.org/10.1111/jtsa.12212"
21,"Z. Gao and R. S. Tsay, ""A Structural-Factor Approach to Modeling High-Dimensional Time Series and Space-Time Data,"" Journal of Time Series Analysis, vol. 40, no. 3, pp. 343-362, 2019. [Online]. Available: https://doi.org/10.1111/jtsa.12481"
22,"P. Nystrup, J. K. Møller, H. Madsen, ""Dimensionality reduction in forecasting with temporal hierarchies,"" International Journal of Forecasting, vol. 37, no. 3, pp. 1127–1146, 2021. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207020301898"
23,"J. K. Møller, P. Nystrup, H. Madsen, ""Likelihood-based inference in temporal hierarchies,"" International Journal of Forecasting, vol. 40, no. 2, pp. 515–531, 2024. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0169207022001704"
24,"J. Cordes and M. C. Castro, ""Spatial analysis of COVID-19 clusters and contextual factors in New York City,"" Spatial and Spatio-temporal Epidemiology, vol. 34, Article 100355, 2020. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S1877584520300332"
25,"V. van Zoest, K. Lindberg, G. Varotsis, F. B. Osei, and T. Fall, ""Differentiated mental health patterns in pregnancy during COVID-19 first two waves in Sweden: a mixed methods study using digital phenotyping,"" Spatial and Spatio-temporal Epidemiology, vol. 48, Article 100636, 2024."
26,"A. García-Pérez, ""On Robustness for Spatio-Temporal Data,"" Mathematics, vol. 10, no. 10, article 1785, pp. 1–17, 2022. Available: https://www.mdpi.com/2227-7390/10/10/1785"
27,"J. Zhou, R. Gao, J. Yang, P. Zhang, ""Spatial–Temporal Dynamic Graph Differential Equation Network for Traffic Prediction,"" Mathematics, vol. 11, no. 13, article 2867, 2023. Available: https://www.mdpi.com/2227-7390/11/13/2867"
28,"L. Yuan, M. Yin, C. Chen, ""Temporal Community Detection and Analysis with Network Representation Learning,"" Mathematics, vol. 13, no. 5, article 698, 2025. Available: https://www.mdpi.com/2227-7390/13/5/698"
29,"M. Kim and S.-Y. Shin, ""Temporal Dynamic Embedding for Irregularly Sampled Time Series,"" arXiv preprint arXiv:2504.05768, 2025. [Online]. Available: https://arxiv.org/abs/2504.05768"
30,"Y. Wang, H. Wu, J. Dong, Y. Liu, M. Long, and J. Wang, ""Deep Time Series Models: A Comprehensive Survey and Benchmark,"" arXiv preprint arXiv:2407.13278, 2024. [Online]. Available: https://arxiv.org/abs/2407.13278"
31,"X. Yu, Z. Chen, Y. Ling, S. Dong, Z. Liu, and Y. Lu, ""Temporal Data Meets LLM – Explainable Financial Time Series Forecasting,"" arXiv preprint arXiv:2306.11025, 2023. [Online]. Available: https://arxiv.org/abs/2306.11025"
32,"B. Shi, X. Bai, and C. Yao, ""An End-to-End Trainable Neural Network for Image-Based Sequence Recognition and Its Application to Scene Text Recognition,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 39, no. 11, pp. 2298–2304, Nov. 2017. doi: 10.1109/TPAMI.2016.2646371. URL: https://ieeexplore.ieee.org/document/7801919/"
33,"Y. Wang, H. Wu, J. Zhang, Z. Gao, J. Wang, P. S. Yu, and M. Long, ""PredRNN: A Recurrent Neural Network for Spatiotemporal Predictive Learning,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 45, no. 2, pp. 2208–2225, Feb. 2023. doi: 10.1109/TPAMI.2022.3165153. URL: https://ieeexplore.ieee.org/document/9749915"
34,"J.-T. Chien and C.-W. Wang, ""Hierarchical and Self-Attended Sequence Autoencoder,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 44, no. 9, pp. 4975–4986, Sept. 2022. doi: 10.1109/TPAMI.2021.3068187. URL: https://ieeexplore.ieee.org/document/9384306"
35,"Y. Keneshloo, T. Shi, N. Ramakrishnan, and C. K. Reddy, “Deep reinforcement learning for sequence-to-sequence models,” IEEE Transactions on Neural Networks and Learning Systems, vol. 31, no. 7, pp. 2469–2489, Jul. 2020. doi: 10.1109/TNNLS.2019.2929141. [Online]. Available: https://ieeexplore.ieee.org/document/8801910"
36,"X. Guan, Y. Yang, J. Li, X. Xu, and H. T. Shen, “Mind the remainder: Taylor’s theorem view on recurrent neural networks,” IEEE Transactions on Neural Networks and Learning Systems, vol. 33, no. 4, pp. 1507–1519, Apr. 2022. doi: 10.1109/TNNLS.2021.3057294. [Online]. Available: https://ieeexplore.ieee.org/document/9323070"
37,"Z. Liu, Y. Liu, X. Xie, Y. Zhang, and X. Lu, “A novel sequence-to-sequence-based deep learning model for satellite cloud image time series prediction,” IEEE Transactions on Neural Networks and Learning Systems, vol. 36, no. 1, pp. 638–651, Jan. 2025. doi: 10.1109/TNNLS.2023.3322146. [Online]. Available: https://ieeexplore.ieee.org/abstract/document/10409277/"
38,"J. Born and M. Manica, ""Regression Transformer enables concurrent sequence regression and generation for molecular language modelling,"" Nature Machine Intelligence, vol. 5, pp. 432-444, 2023. [Online]. Available: https://www.nature.com/articles/s42256-023-00639-z"
39,"X. Fang, F. Wang, L. Liu, J. He, D. Lin, Y. Xiang, K. Zhu, X. Zhang, H. Wu, H. Li, and L. Song, ""A method for multiple-sequence-alignment-free protein structure prediction using a protein language model,"" Nature Machine Intelligence, vol. 5, pp. 1087-1096, 2023. [Online]. Available: https://www.nature.com/articles/s42256-023-00721-6"
40,"N. Wang, J. Bian, Y. Li, X. Li, S. Mumtaz, L. Kong, and H. Xiong, ""Multi-purpose RNA language modelling with motif-aware pretraining and type-guided fine-tuning,"" Nature Machine Intelligence, vol. 6, pp. 548-557, 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00836-4"
