Index,Citation
1,"O. Vandenberg, D. Martiny, O. Rochas, A. van Belkum, and Z. Kozlakidis, ""Considerations for diagnostic COVID-19 tests,"" Nature Reviews Microbiology, vol. 19, pp. 171–183, 2021. Available: https://www.nature.com/articles/s41579-020-00461-z"
2,"I. N. Okeke and C. Ihekweazu, ""The importance of molecular diagnostics for infectious diseases in low-resource settings,"" Nature Reviews Microbiology, vol. 19, pp. 547–548, 2021. Available: https://www.nature.com/articles/s41579-021-00598-5"
3,"R. E. Baker, A. S. Mahmud, I. F. Miller, M. Rajeev, F. Rasambainarivo, B. L. Rice, S. Takahashi, A. J. Tatem, C. E. Wagner, L.-F. Wang, A. Wesolowski, and C. J. E. Metcalf, ""Infectious disease in an era of global change,"" Nature Reviews Microbiology, vol. 20, pp. 193–205, 2022. Available: https://www.nature.com/articles/s41579-021-00639-z"
4,"T. Weitzel, C. Pérez, D. Tapia, P. Legarraga, and L. Porte, ""SARS-CoV-2 rapid antigen detection tests,"" The Lancet Infectious Diseases, vol. 21, no. 8, pp. 1067–1068, Aug. 2021. [Online]. Available: https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00249-8/fulltext DOI: 10.1016/S1473-3099(21)00249-8"
5,"M. V. Kiang, E. T. Chin, B. Q. Huynh, L. A. C. Chapman, I. Rodríguez-Barraquer, B. Greenhouse, G. W. Rutherford, K. Bibbins-Domingo, D. Havlir, S. Basu, and N. C. Lo, ""Routine asymptomatic testing strategies for airline travel during the COVID-19 pandemic: a simulation study,"" The Lancet Infectious Diseases, vol. 21, no. 7, pp. 929–938, July 2021. [Online]. Available: https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00134-1/fulltext DOI: 10.1016/S1473-3099(21)00134-1"
6,"L. M. R. Kasbergen, E. de Bruin, F. Chandler, A. J. Menting, P. A. M. Kouwijzer, L. Schwanitz, V. Klaus, K. H. Adan, S. Markota, R. G. P. Alblas, et al., ""Multi-antigen serology and a diagnostic algorithm for the detection of arbovirus infections as novel tools for arbovirus preparedness in southeast Europe: a prospective observational study,"" The Lancet Infectious Diseases, vol. 24, no. 6, pp. 689–698, June 2024. [Online]. Available: https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(24)00654-6/fulltext DOI: 10.1016/S1473-3099(24)00654-6"
7,"A. J. Sundermann, J. Chen, P. Kumar, A. M. Ayres, S. T. Cho, C. Ezeonwuka, M. P. Griffith, J. K. Miller, M. M. Mustapha, A. W. Pasculle, M. I. Saul, K. A. Shutt, V. Srinivasa, K. Waggle, D. J. Snyder, V. S. Cooper, D. Van Tyne, G. M. Snyder, J. W. Marsh, A. Dubrawski, M. S. Roberts, and L. H. Harrison, ""Whole-Genome Sequencing Surveillance and Machine Learning of the Electronic Health Record for Enhanced Healthcare Outbreak Detection,"" Clinical Infectious Diseases, vol. 75, no. 3, pp. 476-482, 2022, doi: 10.1093/cid/ciab946. Available: https://pubmed.ncbi.nlm.nih.gov/34791136/"
8,"A. J. Sundermann, P. Kumar, M. P. Griffith, K. D. Waggle, V. Rangachar Srinivasa, N. Raabe, E. G. Mills, H. Coyle, D. Ereifej, H. M. Creager, A. Ayres, D. Van Tyne, L. L. Pless, G. M. Snyder, M. Roberts, and L. H. Harrison, ""Real-Time Genomic Surveillance for Enhanced Healthcare Outbreak Detection and Control: Clinical and Economic Impact,"" Clinical Infectious Diseases, Apr. 30, 2025:ciaf216. doi: 10.1093/cid/ciaf216. [Online ahead of print] Available: https://pubmed.ncbi.nlm.nih.gov/40302215/"
9,"B. R. Jackson, C. Tarr, E. Strain, K. A. Jackson, A. Conrad, H. Carleton, L. S. Katz, S. Stroika, L. H. Gould, R. K. Mody, B. J. Silk, J. Beal, Y. Chen, R. Timme, M. Doyle, A. Fields, M. Wise, G. Tillman, S. Defibaugh-Chavez, Z. Kucerova, A. Sabol, K. Roache, E. Trees, M. Simmons, J. Wasilenko, K. Kubota, H. Pouseele, W. Klimke, J. Besser, E. Brown, M. Allard, and P. Gerner-Smidt, ""Implementation of Nationwide Real-time Whole-genome Sequencing to Enhance Listeriosis Outbreak Detection and Investigation,"" Clinical Infectious Diseases, vol. 63, no. 3, pp. 380-386, Aug. 1, 2016, doi: 10.1093/cid/ciw242. Available: https://pubmed.ncbi.nlm.nih.gov/27090985/"
10,"X. Yang and J. Li, ""Learn from the SARS-CoV-2 nucleic acid test to increase the experience of dealing with the 'disease X,'"" BMC Infectious Diseases, vol. 25, Article no. 593, 2025. [Online]. Available: https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-025-10991-7"
11,"G. M. Setegn and B. E. Dejene, ""Explainable AI for Symptom-Based Detection of Monkeypox: a machine learning approach,"" BMC Infectious Diseases, vol. 25, Article no. 419, 2025. [Online]. Available: https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-025-10738-4"
12,"A. Pierangeli, O. Turriziani, M. Fracella, R. Campagna, F. Frasca, A. D’Auria, C. Scagnolari, P. Roberto, L. Cinti, G. D’Ettorre, G. Ceccarelli, L. Petrarca, R. Nenna, F. Midulla, G. Galardo and G. Antonelli, ""The added value of diagnostics to characterize age-specific patterns of respiratory viral infections and coinfections and to detect emerging threats,"" BMC Infectious Diseases, vol. 25, Article no. 404, 2025. [Online]. Available: https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-025-10693-0"
13,"N. Bürgisser, E. Chalot, S. Mehouachi, C. P. Buclin, K. Lauper, D. S. Courvoisier, and D. Mongin, “Large language models for accurate disease detection in electronic health records,” medRxiv, 2024. [Online]. Available: https://www.medrxiv.org/content/10.1101/2024.07.27.24311106v1"
14,"A. Matov, “Urinary Biomarkers for Disease Detection,” medRxiv, 2024. [Online]. Available: https://www.medrxiv.org/content/10.1101/2024.07.30.24311186v1"
15,"N. Krasnow, K. Maurer, C. Song, J. Rhoades, K. Xiong, A. Crnjac, T. Blewett, L. Gao, H. Jacene, R. Merryman, S. H. Gohil, C. Duffy, L. I. Guerrero, J. Dela Cruz, M. McDonough, J. O. Wolff, R. Redd, M. Mattie, B. Miles, G. M. Makrigiorgos, D. S. Neuberg, S. J. Rodig, P. Armand, C. Jacobson, V. A. Adalsteinsson, and C. J. Wu, “Early Measurable Residual Disease Detection after CAR-T is Associated with Poor Outcome Large B-cell Lymphoma Patients,” medRxiv, 2024. [Online]. Available: https://www.medrxiv.org/content/10.1101/2024.11.27.24318095v1"
16,"D. van Kampen and J. Wildfeuer, ""Cohesion in physical movie releases: developing a framework for the multimodal analysis of complex three-dimensional packaging,"" Multimodality & Society, 2024. [Online]. Available: https://doi.org/10.1177/26349795241306993"
17,"F. Byrne, ""A diffractive approach to multimodal transcription: Materialising entanglements between humans and non-humans,"" Multimodality & Society, 2024. [Online]. Available: https://doi.org/10.1177/26349795241291369"
18,"S. Kjær Jensen and B. Schirrmacher, ""Stronger together: Moving towards a combined multimodal and intermedial model,"" Multimodality & Society, 2024. [Online]. Available: https://doi.org/10.1177/26349795241259606"
19,"Hamdi Dibeklioğlu, Elif Surer, Albert Ali Salah, Thierry Dutoit, ""Behavior and usability analysis for multimodal user interfaces,"" Journal on Multimodal User Interfaces, vol. 15, pp. 335–336, 2021. DOI: https://doi.org/10.1007/s12193-021-00372-0 URL: https://link.springer.com/article/10.1007/s12193-021-00372-0"
20,"Candy Olivia Mawalim, Shogo Okada, Yukiko I. Nakano, Masashi Unoki, ""Personality trait estimation in group discussions using multimodal analysis and speaker embedding,"" Journal on Multimodal User Interfaces, vol. 17, pp. 47–63, 2023. DOI: https://doi.org/10.1007/s12193-023-00401-0 URL: https://link.springer.com/article/10.1007/s12193-023-00401-0"
21,"Béatrice Biancardi, Maurizio Mancini, Brian Ravenet, Giovanna Varni, ""Modelling the 'transactive memory system' in multimodal multiparty interactions,"" Journal on Multimodal User Interfaces, vol. 18, no. 1, pp. 103–117, 2024. DOI: https://doi.org/10.1007/s12193-023-00399-w URL: https://link.springer.com/article/10.1007/s12193-023-00399-w"
22,"F. Atilla, B. Klomberg, B. Cardoso, and N. Cohn, ""Background check: cross-cultural differences in the spatial context of comic scenes,"" Multimodal Communication, vol. 12, no. 3, pp. 179–189, 2023. [Online]. Available: https://www.degruyter.com/document/doi/10.1515/mc-2023-2010/html"
23,"J. A. Bateman and C.-I. Tseng, ""Multimodal discourse analysis as a method for revealing narrative strategies in news videos,"" Multimodal Communication, vol. 12, no. 3, pp. 261–285, 2023. [Online]. Available: https://www.degruyter.com/document/doi/10.1515/mc-2023-2017/html"
24,"D. Lindenberg, ""Multimodal meaning-making in student presentations: the impact of explicit feedback in a German as a foreign language classroom,"" Multimodal Communication, vol. 12, no. 3, pp. 191–206, 2023. [Online]. Available: https://www.degruyter.com/document/doi/10.1515/mc-2023-2011/html"
25,"J. A. Bateman and F. Schmidt-Borcherding, ""The Communicative Effectiveness of Education Videos: Towards an Empirically-Motivated Multimodal Account,"" Multimodal Technologies and Interaction, vol. 2, no. 3, pp. 59, Sep. 2018. [Online]. Available: https://www.mdpi.com/2414-4088/2/3/59"
26,"T. Guntz, R. Balzarini, D. Vaufreydaz, and J. L. Crowley, ""Multimodal Observation and Classification of People Engaged in Problem Solving: Application to Chess Players,"" Multimodal Technologies and Interaction, vol. 2, no. 2, pp. 11, Jun. 2018. [Online]. Available: https://www.mdpi.com/2414-4088/2/2/11"
27,"J. Lamb, ""To Boldly Go: Feedback as Digital, Multimodal Dialogue,"" Multimodal Technologies and Interaction, vol. 2, no. 3, pp. 49, Sep. 2018. [Online]. Available: https://www.mdpi.com/2414-4088/2/3/49"
28,"Yushan Jiang, Kanghui Ning, Zijie Pan, Xuyang Shen, Jingchao Ni, Wenchao Yu, Anderson Schneider, Haifeng Chen, Yuriy Nevmyvaka, and Dongjin Song, ""Multi-modal Time Series Analysis: A Tutorial and Survey,"" arXiv preprint arXiv:2503.13709, 2025. [Online]. Available: https://arxiv.org/abs/2503.13709"
29,"Wenwu Zhu, Xin Wang, and Hongzhi Li, ""Multi-modal Deep Analysis for Multimedia,"" IEEE Transactions on Circuits and Systems for Video Technology, 2020. arXiv preprint arXiv:1910.04964. [Online]. Available: https://arxiv.org/abs/1910.04964 , doi: 10.1109/TCSVT.2019.2940647"
30,"Jiaqi Wang, Hanqi Jiang, Yiheng Liu, Chong Ma, Xu Zhang, Yi Pan, Mengyuan Liu, Peiran Gu, Sichen Xia, Wenjun Li, Yutong Zhang, Zihao Wu, Zhengliang Liu, Tianyang Zhong, Bao Ge, Tuo Zhang, Ning Qiang, Xintao Hu, Xi Jiang, Xin Zhang, Wei Zhang, Dinggang Shen, Tianming Liu, and Shu Zhang, ""A Comprehensive Review of Multimodal Large Language Models: Performance and Challenges Across Different Tasks,"" arXiv preprint arXiv:2408.01319, 2024. [Online]. Available: https://arxiv.org/abs/2408.01319"
31,"M. Jaritz, T.-H. Vu, R. De Charette, É. Wirbel, and P. Pérez, ""Cross-modal learning for domain adaptation in 3D semantic segmentation,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 45, no. 2, pp. 1533-1544, 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9737217/"
32,"Y. Liu, G. Li, and L. Lin, ""Cross-modal causal relational reasoning for event-level visual question answering,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 45, no. 10, pp. 11624-11641, 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10146482/"
33,"A. Vobecky, D. Hurych, O. Siméoni, S. Gidaris, A. Bursuc, P. Pérez, and J. Sivic, ""Unsupervised Semantic Segmentation of Urban Scenes via Cross-Modal Distillation,"" International Journal of Computer Vision, vol. 133, no. 6, pp. 3519–3541, 2025. [Online]. Available: https://doi.org/10.1007/s11263-024-02320-3"
34,"M. Planamente, C. Plizzari, S. A. Peirone, B. Caputo, and A. Bottino, ""Relative Norm Alignment Loss for Multimodal Learning,"" International Journal of Computer Vision, Special Issue on Multimodal Learning, vol. 133, 2025. (Note: Full citation details and URL available in the Special Issue on Multimodal Learning. Reference: https://link.springer.com/journal/11263/volumes-and-issues/133-6)"
35,"X.-F. Zhu, T. Xu, Z.-t. Liu, Z. Tang, X.-J. Wu, and J. Kittler, ""UniMod1K: A Dataset for Multimodal Learning with Vision, Depth, and Language,"" International Journal of Computer Vision, Special Issue on Multimodal Learning, vol. 133, 2025. (Note: Full citation details and URL available in the Special Issue on Multimodal Learning. Reference: https://link.springer.com/journal/11263/volumes-and-issues/133-6)"
36,"S. J. Mataraso, C. A. Espinosa, D. Seong, S. M. Reincke, E. Berson, J. D. Reiss, Y. Kim, M. Ghanem, C.-H. Shu, T. James, Y. Tan, S. Shome, I. A. Stelzer, D. Feyaerts, R. J. Wong, G. M. Shaw, M. S. Angst, B. Gaudilliere, D. K. Stevenson, and N. Aghaeepour, “A machine learning approach to leveraging electronic health records for enhanced omics analysis,” Nature Machine Intelligence, vol. 7, pp. 293–306, 2025. [Online]. Available: https://www.nature.com/articles/s42256-024-00974-9"
37,"S. R. Stahlschmidt, B. Ulfenborg, and J. Synnergren, “Multimodal deep learning for biomedical data fusion: a review,” Nature Machine Intelligence, vol. 5, pp. 351–362, 2023. [Online]. Available: https://www.nature.com/articles/s42256-023-00629-w"
38,"D. Ding, S. Li, B. Narasimhan, and R. Tibshirani, “Cooperative learning for multiview analysis,” Nature Machine Intelligence, vol. 4, pp. 263–271, 2022. [Online]. Available: https://www.nature.com/articles/s42256-022-00497-6"
39,"Y. He, L. Zheng, X. Shi, and T. Huang, ""Efficient Modality Selection in Multimodal Learning,"" Journal of Machine Learning Research, vol. 25, no. 61, pp. 1-53, 2024. [Online]. Available: https://www.jmlr.org/papers/volume25/23-0439/23-0439.pdf"
40,"D. Benielli, H. Berry, and J. Morlier, ""scikit-multimodallearn: A Python Toolbox for Multimodal Machine Learning,"" Journal of Machine Learning Research, vol. 23, no. 279, pp. 1-6, 2022. [Online]. Available: https://www.jmlr.org/papers/volume23/21-0791/21-0791.pdf"
41,"P. Goyal, S. Sahu, S. Ghosh, and C. Lee, “Cross-modal Learning for Multi-modal Video Categorization,” arXiv preprint arXiv:2003.03501, 2020. [Online]. Available: https://arxiv.org/abs/2003.03501"
42,"S. S. Srinivas and V. Runkana, “Cross-Modal Learning for Chemistry Property Prediction: Large Language Models Meet Graph Machine Learning,” arXiv preprint arXiv:2408.14964, 2024. [Online]. Available: https://arxiv.org/abs/2408.14964"
43,"Z. Lin, S. Yu, Z. Kuang, D. Pathak, and D. Ramanan, “Multimodality Helps Unimodality: Cross-Modal Few-Shot Learning with Multimodal Models,” in Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), arXiv preprint arXiv:2301.06267, 2023. [Online]. Available: https://arxiv.org/abs/2301.06267"
44,"O. Aerts, S. W. Griffiths, M. W. A. van Timmeren, et al., “The Image Biomarker Standardisation Initiative: Standardized Quantitative Radiomics for High Throughput Image-based Phenotyping,” Radiology, vol. 295, no. 2, pp. 328-338, May 2020. [Online]. Available: https://pubs.rsna.org/doi/10.1148/radiol.2020191145"
45,"F. Sollini, R. Antunovic, A. Chiti, and H. J. W. L. Aerts, “PET Radiomics in NSCLC: State of the Art and a Proposal for Harmonization of Methodology,” Radiology, vol. 298, no. 2, pp. 548-560, Feb. 2021. [Online]. Available: https://pubs.rsna.org/doi/10.1148/radiol.2021200616"
46,"A. Hope, C. F. Dietrich, L. Q. Zhou, D. L. McFarlane, R. J. Gillies, and H. Hricak, “Radiomics: Images Are More Than Pictures, They Are Data,” Radiology, vol. 278, no. 2, pp. 563–577, Feb. 2016. [Online]. Available: https://pubs.rsna.org/doi/10.1148/radiol.2015151169"
47,"Q. Xie, Y. Li, N. He, M. Ning, K. Ma, G. Wang, Y. Lian, and Y. Zheng, ""Unsupervised Domain Adaptation for Medical Image Segmentation by Disentanglement Learning and Self-Training,"" IEEE Transactions on Medical Imaging, vol. 43, no. 1, pp. 4-14, Jan. 2024. [Online]. Available: https://doi.org/10.1109/TMI.2023.3324198"
