Index,Citation
1,"Thomas Savage, Ashwin Nayak, Robert Gallo, Ekanath Rangan, and Jonathan H. Chen, ""Diagnostic reasoning prompts reveal the potential for large language model interpretability in medicine,"" npj Digital Medicine, vol. 7, Article 20, 2024. [Online]. Available: https://www.nature.com/articles/s41746-024-01010-1"
2,"Marco Guevara, Shan Chen, Spencer Thomas, Tafadzwa L. Chaunzwa, Idalid Franco, Benjamin H. Kann, Shalini Moningi, Jack M. Qian, Madeleine Goldstein, Susan Harper, Hugo J. W. L. Aerts, Paul J. Catalano, Guergana K. Savova, Raymond H. Mak, and Danielle S. Bitterman, ""Large language models to identify social determinants of health in electronic health records,"" npj Digital Medicine, vol. 7, Article 6, 2024. [Online]. Available: https://www.nature.com/articles/s41746-023-00970-0"
3,"Hanyin Wang, Chufan Gao, Christopher Dantona, Bryan Hull, and Jimeng Sun, ""DRG-LLaMA : tuning LLaMA model to predict diagnosis-related group for hospitalized patients,"" npj Digital Medicine, vol. 7, Article 16, 2024. [Online]. Available: https://www.nature.com/articles/s41746-023-00989-3"
4,"J. Zhou, W. Zhong, Y. Wang, and J. Wang, ""Adaptive-solver framework for dynamic strategy selection in large language model reasoning,"" Information Processing & Management, vol. 62, no. 3, Article 104052, 2025. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0306457324000468"
5,"B. Liu, C. Lyu, Z. Min, Z. Wang, J. Su, and L. Wang, ""Retrieval-augmented multi-modal chain-of-thoughts reasoning for large language models,"" Information Processing & Management, vol. 62, no. 1, Article 103907, 2025. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0306457323004317"
6,"X. Liu, X. Wei, G. Shi, D. Liu, F. Qian, P. Wang, and Y. Zhang, ""End-to-end event factuality prediction using directional labeled graph recurrent network,"" Information Processing & Management, vol. 59, no. 2, Article 102836, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0306457321003083"
7,"E. La Malfa, A. Petrov, S. Frieder, C. Weinhuber, R. Burnell, R. Nazar, A. Cohn, N. Shadbolt, and M. Wooldridge, “Language-Models-as-a-Service: Overview of a New Paradigm and its Challenges,” Journal of Artificial Intelligence Research, vol. 80, 2024. Accessed: Aug. 26, 2024. [Online]. Available: https://doi.org/10.1613/jair.1.15865"
8,"C. Wei, K. Duan, S. Zhuo, H. Wang, S. Huang, and J. Liu, “Enhanced Recommendation Systems with Retrieval-Augmented Large Language Model,” Journal of Artificial Intelligence Research, vol. 82, 2025. Accessed: Feb. 26, 2025. [Online]. Available: https://doi.org/10.1613/jair.1.17809"
9,"M. Pternea, P. Singh, A. Chakraborty, Y. Oruganti, M. Milletari, S. Bapat, and K. Jiang, “The RL/LLM Taxonomy Tree: Reviewing Synergies Between Reinforcement Learning and Large Language Models,” Journal of Artificial Intelligence Research, vol. 80, 2024. Accessed: Aug. 26, 2024. [Online]. Available: https://doi.org/10.1613/jair.1.15960"
10,"J. Huang and K. Chen-Chuan Chang, ""Towards Reasoning in Large Language Models: A Survey,"" Findings of the Association for Computational Linguistics: ACL 2023, pp. 1049–1065, 2023. [Online]. Available: https://arxiv.org/abs/2212.10403"
11,"J. Wei, X. Wang, D. Schuurmans, M. Bosma, B. Ichter, F. Xia, E. Chi, Q. Le, and D. Zhou, ""Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"" Advances in Neural Information Processing Systems (NeurIPS), vol. 35, pp. 24824–24837, 2022. [Online]. Available: https://arxiv.org/abs/2201.11903"
12,"M. Besta, J. Barth, E. Schreiber, A. Kubicek, A. Catarino, R. Gerstenberger, P. Nyczyk, P. Iff, Y. Li, S. Houliston, T. Sternal, M. Copik, G. Kwaśniewski, J. Müller, Ł. Flis, H. Eberhard, H. Niewiadomski, and T. Hoefler, ""Reasoning Language Models: A Blueprint,"" arXiv preprint arXiv:2501.11223, version 3, Jan. 2025. [Online]. Available: https://arxiv.org/abs/2501.11223"
13,"Anya Belz, ""A Metrological Perspective on Reproducibility in NLP,"" Computational Linguistics, vol. 48, no. 4, pp. 1125–1135, Dec. 2022. [Online]. Available: https://aclanthology.org/2022.cl-4.21.pdf"
14,"Yonatan Belinkov, ""Probing Classifiers: Promises, Shortcomings, and Advances,"" Computational Linguistics, vol. 48, no. 1, pp. 221–242, Mar. 2022. [Online]. Available: https://aclanthology.org/2022.cl-1.10.pdf"
15,"Di Jin, Zhijing Jin, Zhiting Hu, Olga Vechtomova, and Rada Mihalcea, ""Deep Learning for Text Style Transfer: A Survey,"" Computational Linguistics, vol. 48, no. 1, pp. 159–218, Mar. 2022. [Online]. Available: https://aclanthology.org/2022.cl-1.8.pdf"
16,"R. Dror, G. Baumer, M. Bogomolov, and R. Reichart, ""Replicability Analysis for Natural Language Processing: Testing Significance with Multiple Datasets,"" Transactions of the Association for Computational Linguistics, vol. 5, pp. 471–486, 2017. [Online]. Available: https://aclanthology.org/Q17-1033/"
17,"A. Belz, L. Anastasakos, Y. Zhang, S. Spadine, I. Augenstein, and F. Liu, “A Systematic Review of Reproducibility Research in Natural Language Processing,” Transactions of the Association for Computational Linguistics, vol. 9, pp. 249–266, 2021. [Online]. Available: https://aclanthology.org/2021.eacl-main.29.pdf"
18,"P. Van Eecke, J. Nevens, and K. Beuls, ""Neural heuristics for scaling constructional language processing,"" Journal of Language Modelling, vol. 10, no. 2, pp. 287–314, 2022. [Online]. Available: https://doi.org/10.15398/jlm.v10i2.318"
19,"P. Boersma, T. Benders, and K. Seinhorst, ""Neural network models for phonology and phonetics,"" Journal of Language Modelling, vol. 8, no. 1, pp. 103–177, 2020. [Online]. Available: https://doi.org/10.15398/jlm.v8i1.224"
20,"S. Jha, A. Sudhakar, and A. K. Singh, ""Learning cross-lingual phonological and orthagraphic adaptations: a case study in improving neural machine translation between low-resource languages,"" Journal of Language Modelling, vol. 7, no. 2, pp. 101–142, 2019. [Online]. Available: https://doi.org/10.15398/jlm.v7i2.214"
21,"M. Kinniment, L. J. K. Sato, H. Du, B. Goodrich, M. Hasin, L. Chan, L. H. Miles, T. R. Lin, H. Wijk, J. Burget, A. Ho, E. Barnes, and P. Christiano, ""Evaluating Language-Model Agents on Realistic Autonomous Tasks,"" arXiv preprint arXiv:2312.11671, 2024. [Online]. Available: https://arxiv.org/abs/2312.11671"
22,"L. Vaugrante, M. Niepert, and T. Hagendorff, ""A Looming Replication Crisis in Evaluating Behavior in Language Models? Evidence and Solutions,"" arXiv preprint arXiv:2409.20303, 2024. [Online]. Available: https://arxiv.org/abs/2409.20303"
23,"S. Black*, A. C. Stickland*, J. Pencharz, O. Sourbut, M. Schmatz, J. Bailey, O. Matthews, B. Millwood, A. Remedios, and A. Cooney, ""RepliBench: Evaluating the Autonomous Replication Capabilities of Language Model Agents,"" arXiv preprint arXiv:2504.18565, 2024. [Online]. Available: https://arxiv.org/abs/2504.18565"
24,"V. Mieskes, K. Goeuriot, L. Büchler, S. Evert, S. Kazet, G. Bel, Y. Dupont, J. Duh, F. François, S. Han, M. Jones, A. Kabadjova, M. Kammas, C. Kobus, J. Leveling, R. Lofi, G. Parent, S. Pateux, L. Pla, L. Romanello, M. L. Ruiz-González, and E. SanJuan, ""Reproducibility in Computational Linguistics: Are We Willing to Share?"" Computational Linguistics, vol. 44, no. 4, pp. 641–649, Dec. 2018. [Online]. Available: https://aclanthology.org/J18-4003/"
25,"C. Thomson, E. Reiter, and A. Belz, ""Common Flaws in Running Human Evaluation Experiments in NLP,"" Computational Linguistics, vol. 50, no. 2, pp. 795–807, Apr. 2024. [Online]. Available: https://aclanthology.org/2024.cl-2.9/"
26,"M. Crane, ""Questionable Answers in Question Answering Research: Reproducibility and Variability of Published Results,"" Transactions of the Association for Computational Linguistics, vol. 6, pp. 241–252, 2018. [Online]. Available: https://transacl.org/ojs/index.php/tacl/article/download/1299/296/3798"
27,"D. Deutsch, N. Kassner, J. Li, R. Reichart, and D. Roth, ""A Statistical Analysis of Summarization Evaluation Metrics Using Resampling Methods,"" Transactions of the Association for Computational Linguistics, vol. 9, pp. 1132–1146, 2021. [Online]. Available: https://transacl.org/index.php/tacl/article/view/3125/1031"
28,"W. Digan, A. Névéol, A. Neuraz, M. Wack, D. Baudoin, C. Rance, A. Burgun, and P. Rosset, ""Can reproducibility be improved in clinical natural language processing? A study of 7 clinical NLP suites,"" Journal of the American Medical Informatics Association, vol. 28, no. 3, pp. 504–515, 2021. [Online]. Available: https://academic.oup.com/jamia/article/28/3/504/6034902"
