category,item,claude-3.7,gemini-2.5,gpt-4.1,Agree (gpt-4.1 vs gemini-2.5),Agree (gpt-4.1 vs claude-3.7),Agree (gemini-2.5 vs claude-3.7),Agreement,Paper Name
Analysis,Depth,4.1,4.4,4.0,0.0,0.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Analysis,Gaps,4.5,4.5,4.3,0.0,0.0,1.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Analysis,Integration,4.5,4.6,4.6,1.0,0.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Literature,Balance,4.6,4.8,4.6,0.0,1.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Literature,Comprehensiveness,4.3,4.3,4.4,0.0,0.0,1.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Literature,Currency,4.9,4.9,4.9,1.0,1.0,1.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Organization,Logical Flow,5.0,4.8,4.8,1.0,0.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Organization,Section Clarity,5.0,4.6,5.0,0.0,1.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Organization,Summarization,3.8,3.7,3.8,0.0,1.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Originality,Advancement,4.3,4.3,4.3,1.0,1.0,1.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Originality,Novelty,3.7,3.8,3.7,0.0,1.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Originality,Redundancy Avoidance,4.2,4.4,4.4,1.0,0.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Presentation,Formatting,5.0,4.8,5.0,0.0,1.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Presentation,Language,5.0,5.0,5.0,1.0,1.0,1.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Presentation,Visuals,1.7,1.8,1.2,0.0,0.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
References,Accuracy,4.7,4.6,4.6,1.0,0.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
References,Appropriateness,5.0,5.0,5.0,1.0,1.0,1.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Scope,Audience,4.6,4.8,5.0,0.0,0.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Scope,Objectives,3.2,2.9,3.2,0.0,1.0,0.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
Scope,Relevance,5.0,5.0,5.0,1.0,1.0,1.0,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
TOTAL,,87.10000000000001,87.0,86.8,,,,,"A Comprehensive Survey on Embodied Artificial Intelligence Foundations, Advances, and Future Directions.pdf"
