category,item,claude-3.7,gemini-2.5,gpt-4.1,Agree (gpt-4.1 vs gemini-2.5),Agree (gpt-4.1 vs claude-3.7),Agree (gemini-2.5 vs claude-3.7),Agreement,Paper Name
Analysis,Depth,4.38,4.0,4.25,0.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Analysis,Gaps,4.5,4.38,4.38,1.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Analysis,Integration,4.5,4.12,4.25,0.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Literature,Balance,4.62,4.62,4.62,1.0,1.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Literature,Comprehensiveness,4.38,4.38,4.25,0.0,0.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Literature,Currency,5.0,5.0,4.88,0.0,0.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Organization,Logical Flow,4.88,4.88,4.88,1.0,1.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Organization,Section Clarity,4.88,4.88,5.0,0.0,0.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Organization,Summarization,3.88,3.75,3.75,1.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Originality,Advancement,3.88,4.0,4.25,0.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Originality,Novelty,3.62,3.62,3.62,1.0,1.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Originality,Redundancy Avoidance,3.88,4.25,4.12,0.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Presentation,Formatting,5.0,4.88,4.5,0.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Presentation,Language,5.0,5.0,5.0,1.0,1.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Presentation,Visuals,1.25,2.25,1.5,0.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
References,Accuracy,4.88,4.62,4.5,0.0,0.0,0.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
References,Appropriateness,5.0,5.0,4.88,0.0,0.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Scope,Audience,4.62,4.62,4.75,0.0,0.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Scope,Objectives,3.0,3.0,3.12,0.0,0.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Scope,Relevance,4.75,4.75,5.0,0.0,0.0,1.0,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
TOTAL,,85.9,86.0,85.5,,,,,Comprehensive Survey on Synthetic Data Generation with Diffusion Models for Object Detection.pdf
Analysis,Depth,4.42,4.5,4.33,0.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Analysis,Gaps,4.67,4.67,4.67,1.0,1.0,1.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Analysis,Integration,4.67,4.58,4.58,1.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Literature,Balance,4.83,4.75,4.83,0.0,1.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Literature,Comprehensiveness,4.83,4.83,4.83,1.0,1.0,1.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Literature,Currency,4.92,4.92,4.92,1.0,1.0,1.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Organization,Logical Flow,5.0,5.0,5.0,1.0,1.0,1.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Organization,Section Clarity,5.0,4.92,5.0,0.0,1.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Organization,Summarization,3.75,3.92,3.92,1.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Originality,Advancement,4.08,4.33,4.25,0.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Originality,Novelty,3.75,3.67,3.75,0.0,1.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Originality,Redundancy Avoidance,4.33,4.0,4.42,0.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Presentation,Formatting,5.0,4.75,5.0,0.0,1.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Presentation,Language,5.0,5.0,5.0,1.0,1.0,1.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Presentation,Visuals,1.33,1.83,1.67,0.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
References,Accuracy,5.0,4.83,4.83,1.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
References,Appropriateness,5.0,5.0,5.0,1.0,1.0,1.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Scope,Audience,5.0,4.75,4.83,0.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Scope,Objectives,2.58,2.83,2.92,0.0,0.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Scope,Relevance,5.0,4.92,5.0,0.0,1.0,0.0,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
TOTAL,,88.16,88.0,88.75,,,,,"Applications of Artificial Intelligence in Facial Recognition Techniques, Challenges, and Future Directions.pdf"
Analysis,Depth,4.0,3.88,4.12,0.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Analysis,Gaps,4.5,4.5,4.5,1.0,1.0,1.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Analysis,Integration,4.12,4.25,4.5,0.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Literature,Balance,4.88,4.62,4.88,0.0,1.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Literature,Comprehensiveness,4.75,4.75,4.75,1.0,1.0,1.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Literature,Currency,5.0,4.88,5.0,0.0,1.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Organization,Logical Flow,5.0,4.88,4.88,1.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Organization,Section Clarity,5.0,4.88,5.0,0.0,1.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Organization,Summarization,3.75,3.62,3.62,1.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Originality,Advancement,4.12,4.25,4.38,0.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Originality,Novelty,3.62,3.62,3.62,1.0,1.0,1.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Originality,Redundancy Avoidance,4.5,4.0,4.25,0.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Presentation,Formatting,4.88,4.88,4.88,1.0,1.0,1.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Presentation,Language,5.0,5.0,5.0,1.0,1.0,1.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Presentation,Visuals,1.25,1.25,1.5,0.0,0.0,1.0,,A Comprehensive Survey on Efficient Video Generation.pdf
References,Accuracy,4.5,4.38,4.5,0.0,1.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
References,Appropriateness,5.0,5.0,5.0,1.0,1.0,1.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Scope,Audience,4.5,4.75,4.5,0.0,1.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Scope,Objectives,3.0,2.88,2.75,0.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
Scope,Relevance,5.0,4.75,4.75,1.0,0.0,0.0,,A Comprehensive Survey on Efficient Video Generation.pdf
TOTAL,,86.36999999999999,85.02,86.38,,,,,A Comprehensive Survey on Efficient Video Generation.pdf
Analysis,Depth,4.6,4.6,4.6,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Analysis,Gaps,4.6,4.6,4.6,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Analysis,Integration,4.6,4.6,4.6,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Literature,Balance,4.8,4.8,4.9,0.0,0.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Literature,Comprehensiveness,4.8,4.9,4.9,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Literature,Currency,5.0,5.0,5.0,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Organization,Logical Flow,5.0,4.8,4.8,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Organization,Section Clarity,5.0,4.7,4.9,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Organization,Summarization,3.8,4.1,4.0,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Originality,Advancement,4.5,4.6,4.6,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Originality,Novelty,3.8,3.8,3.8,1.0,1.0,1.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Originality,Redundancy Avoidance,4.8,4.7,4.5,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Presentation,Formatting,5.0,4.9,5.0,0.0,1.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Presentation,Language,5.0,4.9,5.0,0.0,1.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
Presentation,Visuals,2.1,2.6,2.4,0.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
References,Accuracy,4.8,4.9,4.9,1.0,0.0,0.0,,A Comprehensive Survey on Layout-Guided Controllable Image Synthesis.pdf
