category,item,claude-3.7,gemini-2.5,gpt-4.1,Agree (gpt-4.1 vs gemini-2.5),Agree (gpt-4.1 vs claude-3.7),Agree (gemini-2.5 vs claude-3.7),Agreement,Paper Name
Analysis,Depth,4.64,4.55,4.55,1.0,0.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Analysis,Gaps,4.64,4.64,4.64,1.0,1.0,1.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Analysis,Integration,4.64,4.64,4.64,1.0,1.0,1.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Literature,Balance,5.0,4.91,5.0,0.0,1.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Literature,Comprehensiveness,4.82,4.73,4.82,0.0,1.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Literature,Currency,5.0,5.0,5.0,1.0,1.0,1.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Organization,Logical Flow,5.0,4.91,5.0,0.0,1.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Organization,Section Clarity,5.0,4.91,5.0,0.0,1.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Organization,Summarization,3.73,3.82,3.82,1.0,0.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Originality,Advancement,4.36,4.45,4.55,0.0,0.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Originality,Novelty,3.82,3.73,3.82,0.0,1.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Originality,Redundancy Avoidance,4.27,4.45,4.64,0.0,0.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Presentation,Formatting,5.0,5.0,4.82,0.0,0.0,1.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Presentation,Language,5.0,5.0,5.0,1.0,1.0,1.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Presentation,Visuals,1.73,1.91,2.27,0.0,0.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
References,Accuracy,4.91,4.73,4.82,0.0,0.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
References,Appropriateness,5.0,5.0,5.0,1.0,1.0,1.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Scope,Audience,4.82,4.82,4.91,0.0,0.0,1.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Scope,Objectives,2.91,3.27,3.09,0.0,0.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
Scope,Relevance,5.0,4.82,5.0,0.0,1.0,0.0,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
TOTAL,,89.28999999999999,89.28999999999999,90.39,,,,,"Comprehensive Survey on Formal Verification of Neural Networks Foundations, Methods, and Future Directions.pdf"
