Index,Citation,Summary
1,"G. Franceschelli and M. Musolesi, ""Reinforcement Learning for Generative AI: State of the Art, Opportunities and Open Research Challenges,"" Journal of Artificial Intelligence Research, vol. 79, pp. 851-903, 2024. [Online]. Available: https://doi.org/10.1613/jair.1.15278","This survey reviews the intersection of generative artificial intelligence (AI) and reinforcement learning (RL), discussing key concepts, methodologies, and open research questions. Generative AI models, such as VAEs, GANs, transformers, and diffusion models, have achieved impressive results but often struggle to encode complex objectives and alignment with human values. RL offers solutions by enabling generative models to work with non-differentiable rewards and embedding desired characteristics. The paper systematically explores three RL application classes: (1) RL as an alternative for mere generationenabling sequential tasks like text generation (e.g., SeqGAN, MaskGAN, CodeRL), (2) RL for objective maximizationdirectly optimizing non-differentiable metrics like BLEU, ROUGE for text, molecular properties for molecule generation, or subjective image scores for diffusion models, and (3) RL for incorporating characteristics not easily captured with explicit metricsprimarily via reward modeling and reinforcement learning from human/AI feedback (RLHF), crucial for aligning large language models (LLMs) and generative systems with nuanced human preferences. Challenges highlighted include managing exploration in vast action spaces, dealing with computational demands, preventing overfitting to sparse or flawed metrics (Goodharts Law), ensuring robust, fair, and diverse reward modeling, and safeguarding against reward hacking and adversarial attacks such as LLM jailbreaks. The authors advocate for deeper integration of advanced RL techniques, improved robustness, diverse alignment, and preventive strategies against vulnerabilities in next-generation generative AI models. The work comprehensively charts state-of-the-art applications across chemistry, vision, music, text, and code, using RL paradigms such as on-policy, off-policy, hierarchical, and reward-weighted optimization, and concludes that RL is both an enabler and a new frontier of challenges in generative AI."
2,"K. Sowa and A. Przegalinska, ""From Expert Systems to Generative Artificial Experts: A New Concept for Human-AI Collaboration in Knowledge Work,"" Journal of Artificial Intelligence Research, vol. 82, pp. 1-31, 2025. [Online]. Available: https://doi.org/10.1613/jair.1.17175","This paper introduces the concept of Generative Artificial Experts (GAEs), a novel class of generative AI agents specifically designed for collaborative knowledge work between humans and AI. GAEs are characterized by seven defining traits, including specialized domain expertise, bounded autonomy, synthetic personas, and multimodal generative capabilities, distinguishing them from other generative AI systems through a proposed taxonomy. Utilizing literature review and abductive reasoning, the authors establish GAEs as an evolutionary step beyond traditional expert systems, driven by advancements in human-AI collaboration and generative AI technologies. Although technical development is not detailed and practical implementations are just emerging, the paper offers conceptual analysis and illustrative examples to showcase potential applications and the transformative role GAEs could play in the future of knowledge work."
3,"L. Lin, H. Mu, Z. Zhai, M. Wang, Y. Wang, R. Wang, J. Gao, Y. Zhang, W. Che, T. Baldwin, X. Han, and H. Li, ""Against The Achilles' Heel: A Survey on Red Teaming for Generative Models,"" Journal of Artificial Intelligence Research, vol. 82, pp. 191-256, 2025. [Online]. Available: https://doi.org/10.1613/jair.1.17654","Generative AI models, such as LLMs and VLMs, present significant vulnerability surfaces due to their flexible capabilities, and the field of red teaming has rapidly evolved to address these concerns. This comprehensive survey covers 129 papers, introducing a taxonomy of attack strategies grounded in intrinsic model capabilitiessuch as compliance, indirection, generalization, and manipulationand systematizes both attack and defense pipelines, including evaluation benchmarks. Automated red teaming, reconceptualized as a search problem with state space, goals, and operations, enables diverse prompt generation via optimization, genetic algorithms, and deep learning, while also highlighting limitations in diversity and coverage. The study emphasizes novel and still-under-addressed risks in multilingual, multimodal scenarios, and overkill in safety training, where benign prompts are mistakenly refused. Benchmarks and metrics remain fragmented, impeding standardized assessment, and despite advances in defense mechanismsranging from training-time to inference-time and ensemble methodstrade-offs between safety and helpfulness persist, with vulnerabilities due to application-layer attacks and model manipulation. The discussion underscores the need for unified benchmarking, systematic prompt exploration, robust defenses, and cross-disciplinary approaches, especially as GenAI agents, tool integration, and multilingual deployments expand; open collaboration and transparency are positioned as key to enhancing reliability and trustworthiness for future GenAI systems."
4,"Z. Qiao, W. Nie, A. Vahdat, T. F. Miller III, and A. Anandkumar, ""State-specific protein–ligand complex structure prediction with a multiscale deep generative model,"" Nature Machine Intelligence, vol. 6, pp. 195–208, 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00792-z","NeuralPLexer is a deep generative modeling framework designed to directly predict protein-ligand complex structures and their conformational changes at atomic resolution, using only protein sequence and ligand molecular graph inputs. It integrates both auto-regressive and diffusion models, with biophysical inductive biases to capture the cooperativity between proteins and small molecules. Key components include a graph-based encoder for representing atoms and residues, a contact prediction module (CPM) leveraging attention networks to estimate intermolecular distances and contact maps, and an equivariant structure denoising module (ESDM) that generates atomic coordinates using structured diffusion while maintaining geometric constraints. The model is trained on a large, curated dataset (PL2019-74k) and utilizes a composite loss function with cross-entropy, translation-rotation-invariant denoising, and geometry-regularization terms. Benchmarked on tasks like blind docking and flexible binding site recovery, NeuralPLexer achieves state-of-the-art results, including 78% higher ligand pose accuracy than the best prior methods on PDBBind2020 and high TM-scores (average $0.906$), even for proteins with significant conformational changes. Compared to AlphaFold2 and RosettaLigand, it provides more accurate predictions and confidence estimates. Its end-to-end differentiable architecture enables efficient, scalable applications to structural biology, drug discovery, and protein engineering, and it is amenable to further improvements through richer datasets, integration of experimental data (such as binding affinities), and extension to more challenging biological scenarios. The code is publicly available at https://github.com/zrqiao/NeuralPLexer."
5,"Z. Zhang, W. X. Shen, Q. Liu, and M. Zitnik, ""Efficient generation of protein pockets with PocketGen,"" Nature Machine Intelligence, vol. 6, pp. 1382–1395, 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00920-9","PocketGen is a deep generative model designed to co-generate both the residue sequence and atomic structure of protein ligand-binding pockets, addressing key challenges in achieving sequencestructure consistency and modeling complex multiscale proteinligand interactions. PocketGen employs an equivariant bilevel graph transformer to encode interactions at atom, residue, and ligand levels, along with a sequence refinement module based on a protein language model augmented by structural adapters for cross-modal consistency. Training uses combined sequence, coordinate, and structure losses, and initialization is performed by interpolating known scaffolds. Benchmarking on CrossDocked and Binding MOAD datasets, PocketGen achieves an amino acid recovery rate (AAR) of 63.4%, outperforms baselines with a 97% success rate (higher binding affinity than references), yields high geometric fidelity ($\mathrm{scRMSD}$, $\mathrm{scTM}$, pLDDT, and KullbackLeibler divergence of geometric features), and runs over ten times faster than diffusion-based methods. PocketGen generalizes to novel proteins, various pocket sizes, and ligands, demonstrating high stability in designs (predicted $\Delta\Delta G$), with successful recapitulation and extension of experimentally validated pockets. The method's efficiency (44.2 sec for 100 pockets), direct full-atom coordinate prediction, modular neural architecture, and adaptability to larger or unseen cases mark a significant advance over existing physics-based, template, or traditional deep learning approaches. Future work aims to expand design scope, integrate biochemical priors, and validate designs experimentally. Code and data are freely available for further research and application."
6,"Y. Du, A. R. Jamasb, J. Guo, T. Fu, C. Harris, Y. Wang, C. Duan, P. Liò, P. Schwaller, and T. L. Blundell, ""Machine learning-aided generative molecular design,"" Nature Machine Intelligence, vol. 6, pp. 589–604, 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00843-5","Machine learning has provided a means to accelerate early-stage drug discovery by combining molecule generation and filtering steps in a single architecture that leverages the experience and design preferences of medicinal chemists. However, designing machine learning models that can achieve this on the fly to the satisfaction of medicinal chemists remains a challenge owing to the enormous search space. Researchers have addressed de novo design of molecules by decomposing the problem into a series of tasks determined by design criteria. Here we provide a comprehensive overview of the current state of the art in molecular design using machine learning models as well as important design decisions, such as the choice of molecular representations, generative methods and optimization strategies. Subsequently, we present a collection of practical applications in which the reviewed methodologies have been experimentally validated, encompassing both academic and industrial efforts. Finally, we draw attention to the theoretical, computational and empirical challenges in deploying generative machine learning and highlight future opportunities to better align such approaches to achieve realistic drug discovery end points."
7,"D. H. Hagos, R. Battle, and D. B. Rawat, ""Recent Advances in Generative AI and Large Language Models: Current Status, Challenges, and Perspectives,"" arXiv preprint arXiv:2407.14962, accepted for publication in IEEE Transactions on Artificial Intelligence, 2024. [Online]. Available: https://arxiv.org/abs/2407.14962","The paper provides a comprehensive overview of the advances and current landscape of Generative Artificial Intelligence (AI) and Large Language Models (LLMs) in Natural Language Processing (NLP). It details the technical foundations underlying generative models including approaches such as Generative Adversarial Networks (GANs), Variational Autoencoders (VAEs), and Diffusion Models, and explores the evolution and architectures of LLMs like GPT, BERT, and their successors. A clear comparison of state-of-the-art LLMs is presentedperformance tabulated as: 
\[
\begin{tabular}{|c|c|c|}
\hline
\textbf{Model} & \textbf{Parameters (B)} & \textbf{Notable Features} \\
\hline
GPT-3 & 175 & Few-shot learning, Zero-shot \\
PaLM 2 & 540 & Multilingual, Reasoning \\
LLaMA & 65 & Academic availability \\
\hline
\end{tabular}
\]
The paper emphasizes the wide range of LLM applications, from code generation to healthcare, while critically discussing persistent challengesincluding bias and fairness, interpretability, data privacy, computational cost, deepfake generation, limited context windows, and responsible deployment. Future directions are outlined, focusing on advanced bias detection, explainable AI, improved domain adaptation, human-AI collaboration, and long-term memory solutions. Ultimately, the authors argue for a responsible, ethical integration of generative AI into society and identify their work as a roadmap for researchers and practitioners aiming to harness these technologies' potential while mitigating risks."
8,"S. Daniotti, J. Wachs, X. Feng, and F. Neffke, ""Who is using AI to code? Global diffusion and impact of generative AI,"" arXiv preprint arXiv:2506.08945, 2025. [Online]. Available: https://arxiv.org/abs/2506.08945","This study investigates the adoption and impact of generative AI tools in coding by training a neural classifier to detect AI-generated Python functions across 80 million GitHub commits from 200,000 developers worldwide (20182024). By December 2024, AI wrote 30.1% of US Python functions, compared to 24.3% in Germany, 23.2% in France, 21.6% in India, 15.4% in Russia, and 11.7% in China. Adoption is especially strong among newer GitHub users (41% AI code share vs. 28% for veterans), with no gender differences observed. Fixed-effects analyses show ramping up AI usage to 30% lifts quarterly commits by 2.4%, and fosters innovation, evidenced by 2.2% more new libraries and 3.5% more new library combinations used per developer. Economic modeling, combining wage and occupation data, estimates the annual US value of AI-assisted coding at $9.6$14.4 billion ($33B$96B for higher productivity estimates from RCTs). While results are robust and suggest widespread diffusion of generative AI, the authors note uneven uptake, methodological challenges in measuring true usage, and limitations in generalizabilityespecially for China and closed-source contexts. The study concludes that intensity, not just access, to AI tools is key for productivity and innovation gains, and that generative AI for programming is likely at the early stages of a transformative, general-purpose technology diffusion."
9,"N. Holzner, S. Maier, and S. Feuerriegel, ""Generative AI and Creativity: A Systematic Literature Review and Meta-Analysis,"" arXiv preprint arXiv:2505.17241, 2025. [Online]. Available: https://arxiv.org/abs/2505.17241","Generative artificial intelligence (GenAI) is increasingly adopted to aid human creative tasks, but its real effect on creativity has been unclear. This meta-analysis synthesizes data from 28 studies ($n=28$, $m=8214$ participants) to evaluate GenAI's impact. Using standardized effect sizes with Hedges' $g$, the analysis compares (i) GenAI's creativity, (ii) the creativity of humans supported by GenAI, and (iii) the diversity of ideas in such collaborations. GenAI alone is no more creative than humans ($g = -0.05$), but humans working with GenAI outperform those working unaided in creative ideation tasks ($g = 0.27$). However, GenAI collaboration significantly reduces idea diversity ($g = -0.86$). The study further examines variations across different GenAI models, task types, and participant populations, concluding that GenAI serves best as a creative assistant rather than a replacement for human creativity."
10,"S. A. Obead, R. Freij-Hollanti, T. Westerbäck, and C. Hollanti, ""Private Linear Computation for Noncolluding Coded Databases,"" IEEE Journal on Selected Areas in Communications, vol. 40, no. 3, pp. 825–838, Mar. 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9678319","This paper addresses the problem of private linear computation (PLC) in distributed storage systems (DSS) where $n$ noncolluding databases store $r$ messages encoded with an $[n, k]$ linear code. The objective is to allow a user to reliably compute any linear combination $y = \lambda_1 x_1 + \ldots + \lambda_r x_r$ of the messageswhere $\lambda_i \in \mathbb{F}_q$without revealing information about the function or message identities to any database, satisfying an information-theoretic privacy constraint. The key result is the exact capacity for PLC, given by $C_{PLC}(n, k, r) = \frac{1}{1 + \frac{k}{n-k} + \cdots + \frac{k^{r-1}}{(n-k)^{r-1}}}$, which generalizes the capacity for private information retrieval (PIR) to any linear function. Explicit query schemes based on index coding and coset codes achieve this capacity, demonstrating correctness and privacy. The work reveals that for MDS codes, as $n$ increases, capacity nears 1 and download cost per bit vanishes; for replicated storage ($k=1$), classical PIR capacities are recovered. The discussion highlights connections to index coding, explains the necessity of code structure for optimality, and notes that as function complexity increases (larger $r$), rate falls for fixed $n$. Future research directions include handling collusion, Byzantine databases, private computation of nonlinear functions, and seamless PLC integration with practical DSS protocols. The paper thus lays the foundations for secure, private, and efficient distributed function computation in coded storage environments, with complete information-theoretic characterization and matching constructions."
