Index,Citation
1,"G. Franceschelli and M. Musolesi, ""Reinforcement Learning for Generative AI: State of the Art, Opportunities and Open Research Challenges,"" Journal of Artificial Intelligence Research, vol. 79, pp. 851-903, 2024. [Online]. Available: https://doi.org/10.1613/jair.1.15278"
2,"K. Sowa and A. Przegalinska, ""From Expert Systems to Generative Artificial Experts: A New Concept for Human-AI Collaboration in Knowledge Work,"" Journal of Artificial Intelligence Research, vol. 82, pp. 1-31, 2025. [Online]. Available: https://doi.org/10.1613/jair.1.17175"
3,"L. Lin, H. Mu, Z. Zhai, M. Wang, Y. Wang, R. Wang, J. Gao, Y. Zhang, W. Che, T. Baldwin, X. Han, and H. Li, ""Against The Achilles' Heel: A Survey on Red Teaming for Generative Models,"" Journal of Artificial Intelligence Research, vol. 82, pp. 191-256, 2025. [Online]. Available: https://doi.org/10.1613/jair.1.17654"
4,"Z. Qiao, W. Nie, A. Vahdat, T. F. Miller III, and A. Anandkumar, ""State-specific protein–ligand complex structure prediction with a multiscale deep generative model,"" Nature Machine Intelligence, vol. 6, pp. 195–208, 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00792-z"
5,"Z. Zhang, W. X. Shen, Q. Liu, and M. Zitnik, ""Efficient generation of protein pockets with PocketGen,"" Nature Machine Intelligence, vol. 6, pp. 1382–1395, 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00920-9"
6,"Y. Du, A. R. Jamasb, J. Guo, T. Fu, C. Harris, Y. Wang, C. Duan, P. Liò, P. Schwaller, and T. L. Blundell, ""Machine learning-aided generative molecular design,"" Nature Machine Intelligence, vol. 6, pp. 589–604, 2024. [Online]. Available: https://www.nature.com/articles/s42256-024-00843-5"
7,"D. H. Hagos, R. Battle, and D. B. Rawat, ""Recent Advances in Generative AI and Large Language Models: Current Status, Challenges, and Perspectives,"" arXiv preprint arXiv:2407.14962, accepted for publication in IEEE Transactions on Artificial Intelligence, 2024. [Online]. Available: https://arxiv.org/abs/2407.14962"
8,"S. Daniotti, J. Wachs, X. Feng, and F. Neffke, ""Who is using AI to code? Global diffusion and impact of generative AI,"" arXiv preprint arXiv:2506.08945, 2025. [Online]. Available: https://arxiv.org/abs/2506.08945"
9,"N. Holzner, S. Maier, and S. Feuerriegel, ""Generative AI and Creativity: A Systematic Literature Review and Meta-Analysis,"" arXiv preprint arXiv:2505.17241, 2025. [Online]. Available: https://arxiv.org/abs/2505.17241"
10,"S. A. Obead, R. Freij-Hollanti, T. Westerbäck, and C. Hollanti, ""Private Linear Computation for Noncolluding Coded Databases,"" IEEE Journal on Selected Areas in Communications, vol. 40, no. 3, pp. 825–838, Mar. 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9678319"
11,"T. P. Raptis, A. Passarella, M. Conti, A. Zanni, and R. Bruno, ""Distributed Data Access in Industrial Edge Networks,"" IEEE Journal on Selected Areas in Communications, vol. 38, no. 5, pp. 915–927, May 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9039732"
12,"Q. Hu, G. Zhang, Z. Qin, Y. Cai, G. Yu, and G. Y. Li, ""Robust Semantic Communications with Masked VQ-VAE Enabled Codebook,"" IEEE Transactions on Wireless Communications, vol. 22, no. 12, pp. 8707–8722, Dec. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10101778/"
13,"J. Shin, Y. Kang, and Y.-S. Jeon, ""Vector Quantization for Deep-Learning-Based CSI Feedback in Massive MIMO Systems,"" IEEE Wireless Communications Letters, vol. 13, no. 9, pp. 2382–2386, Sept. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10403736/"
14,"J. Cai, C. Wen, C. K. Wen, and S. Jin, ""Hybrid Precoding Architecture for Massive Multiuser MIMO With Dissipation: Sub-Connected or Fully Connected Structures?"" IEEE Transactions on Wireless Communications, vol. 17, no. 3, pp. 1606–1621, Mar. 2018. [Online]. Available: https://ieeexplore.ieee.org/document/8383712/"
15,"S. Ahn, S. Kim, J. Lee, and T. Kim, ""Data Embedding Scheme for Efficient Program Behavior Modeling With Neural Networks,"" IEEE Transactions on Emerging Topics in Computational Intelligence, vol. 6, no. 6, pp. 982-993, Dec. 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9772749/"
16,"N. Alabbasi, O. Erak, O. Alhussein, I. Lotfi, L. Da Xu, and M. Debbah, ""TeleOracle: Fine-Tuned Retrieval-Augmented Generation With Long-Context Support for Networks,"" IEEE Internet of Things Journal, Early Access, 2025. [Online]. Available: https://ieeexplore.ieee.org/document/10935354/"
17,"E. Cadet, O. S. Osundare, H. O. Ekpobimi, Z. Samira, Y. W. Weldegeorgise, ""Cloud migration and microservices optimization framework for large-scale enterprises,"" Open Access Research Journal of Engineering and Technology, vol. 7, no. 2, pp. 046–059, 2024. [Online]. Available: https://oarjpublication.com/journals/oarjet/sites/default/files/OARJET-2024-0059.pdf"
18,"S. Prasad, V. Kumar, ""Enhancing customer experience through AI-driven language processing in telecommunications,"" Open Access Research Journal of Engineering and Technology, vol. 7, no. 1, pp. 102–114, 2024. [Online]. Available: https://oarjpublication.com/journals/oarjet/sites/default/files/OARJET-2024-0027.pdf"
19,"B. Basu, A. Sharma, P. Patil, ""Pioneering digital innovation strategies to enhance financial performance in satellite telecommunications using data analytics,"" Open Access Research Journal of Engineering and Technology, vol. 7, no. 1, pp. 126–141, 2024. [Online]. Available: https://oarjpublication.com/journals/oarjet/sites/default/files/OARJET-2024-0029.pdf"
20,"G. M. Yilma, J. A. Ayala-Romero, A. Garcia-Saavedra, and X. Costa-Perez, ""TelecomRAG: Taming Telecom Standards with Retrieval Augmented Generation and LLMs,"" arXiv preprint arXiv:2406.07053, Jun. 2024. [Online]. Available: https://arxiv.org/pdf/2406.07053"
21,"F. Jiang, W. Zhu, L. Dong, K. Wang, K. Yang, C. Pan, and O. A. Dobre, ""CommGPT: A Graph and Retrieval-Augmented Multimodal Communication Foundation Model,"" arXiv preprint arXiv:2502.18763, Feb. 2025. [Online]. Available: https://arxiv.org/abs/2502.18763"
22,"A. Karapantelakis, M. Thakur, A. Nikou, F. Moradi, C. Olrog, F. Gaim, H. Holm, D. D. Nimara, and V. Huang, ""Using Large Language Models to Understand Telecom Standards: Challenges and Lessons Learned,"" arXiv preprint arXiv:2404.02929, Apr. 2024. [Online]. Available: https://arxiv.org/abs/2404.02929"
