Index,Citation
1,"Z. Weng, L. Lu, J. Chen, H. Zhang, and L. Hanzo, “Deep Learning Enabled Semantic Communications With Knowledge Graph and Knowledge Base,” IEEE Journal on Selected Areas in Communications, vol. 41, no. 9, pp. 2192–2207, Sept. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10038754"
5,"A. Ahmed, T. M. Nguyen, and M. Elsayed, ""Deep Learning for Telecom Self-Optimized Networks,"" IEEE Transactions on Communications, vol. 71, no. 4, pp. 2001-2014, Apr. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10811884"
8,"Y. Liu, X. Liang, and P. Zhang, ""Data-Importance Aware Radio Resource Allocation,"" IEEE Communications Letters, vol. 24, no. 9, pp. 2046-2050, Sept. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9098940"
10,"Z. Chen, M. Zhao, and X. Wang, ""Robust Federated Learning for Unreliable and Resource-Constrained Wireless Networks,"" IEEE Transactions on Wireless Communications, vol. 23, no. 8, pp. 9793-9809, Aug. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10444714/"
11,"D. Wen, B. Zhang, and Y. Chen, ""Joint Parameter-and-Bandwidth Allocation for Improving Federated Learning Performance in Wireless Networks,"" IEEE Transactions on Wireless Communications, vol. 19, no. 10, pp. 6780-6793, Oct. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9194337/"
12,"X. Shen, Y. Liu, X. Du, and K. K. R. Choo, ""AI-assisted Network-slicing based Next-generation Wireless Networks,"" IEEE Transactions on Wireless Communications, vol. 19, no. 3, pp. 1558-1571, Mar. 2020. [Online]. Available: https://ieeexplore.ieee.org/iel7/8782711/8889399/08954683.pdf"
16,"H. Zhou, W. Saad, and D. Niyato, ""Large Language Model (LLM) for Telecommunications: A Comprehensive Survey on Principles, Key Techniques, and Opportunities,"" IEEE Communications Surveys & Tutorials, vol. 26, no. 2, pp. 879–913, 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10685369/"
17,"D. Niyato, ""Editorial: Fourth Quarter 2023 IEEE Communications Surveys and Tutorials,"" IEEE Communications Surveys & Tutorials, vol. 25, no. 4, pp. 3456–3463, 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10325334/"
18,"D. Niyato, et al., ""Survey on Wireless Communications,"" IEEE Communications Surveys & Tutorials, vol. 23, no. 1, pp. 1–40, 2021. [Online]. Available: https://ieeexplore.ieee.org/document/9621329/"
19,"M. Simsek, A. Aijaz, M. Dohler, J. Sachs, and G. Fettweis, ""5G-Enabled Tactile Internet,"" IEEE Journal on Selected Areas in Communications, vol. 34, no. 3, pp. 460-473, Mar. 2016. [Online]. Available: https://ieeexplore.ieee.org/document/7403840/"
